ido_word,esperanto_word,in_current_dict
Alvar Aalto,Alvar Aalto,False
Alvin Toffler,Alvin Toffler,False
Amad Yasin,Ahmed Yassin,False
"Amarillo, Texas",Amarillo,False
Amartya Sen,Amartya Sen,False
Amata Kabua,Amata Kabua,False
Amber Valletta,Amber Valletta,False
Ambroise Paré,Ambroise Paré,False
Ambrose Bierce,Ambrose Bierce,False
Amedeo Avogadro,Amedeo Avogadro,False
Amedeo Modigliani,Amedeo Modigliani,False
Ameenah Gurib-Fakim,Ameenah Gurib-Fakim,False
Amelia Earhart,Amelia Earhart,False
Amerigo Vespucci,Amerigo Vespucci,False
Amintore Fanfani,Amintore Fanfani,False
Amitabh Bachchan,Amitabh Bachchan,False
Amitav Gosh,Amitav Ghosh,False
Amnestio Internaciona,Amnestio Internacia,False
Amos Oz,Amos Oz,False
Amstrad CPC,Amstrad CPC,False
Amstrad PCW,Amstrad PCW,False
Amu Darya,Amudarjo,False
Amy Winehouse,Amy Winehouse,False
Amácio Mazzaropi,Amácio Mazzaropi,False
Amália Rodrigues,Amália Rodrigues,False
Amélie Mauresmo,Amélie Mauresmo,False
Amélie Nothomb,Amélie Nothomb,False
Américo Thomaz,Américo Tomás,False
Ana Brnabić,Ana Brnabić,False
Ana Mena,Ana Mena,False
Ana Pauker,Ana Pauker,False
Anado Donald,Donaldo Anaso,False
Anastase Murekezi,Anastase Murekezi,False
Anatole France,Anatole France,False
Anaïs Nin,Anaïs Nin,False
"Anchorage, Alaska",Anchorage,False
Anciena Franciana,Malnovfranca lingvo,False
Anciena Testamento,Malnova Testamento,False
Anders Celsius,Anders Celsius,False
Anders Chydenius,Anders Chydenius,False
Anders Zorn,Anders Zorn,False
Andie MacDowell,Andie MacDowell,False
Andranik Margaryan,Andranik Markarjan,False
Andre Agassi,Andre Agassi,False
Andrea Bocelli,Andrea Bocelli,False
Andrea Ghez,Andrea M. Ghez,False
Andrea Mantegna,Andrea Mantegna,False
Andrea Pirlo,Andrea Pirlo,False
Andreas Baader,Andreas Baader,False
Andreas Gursky,Andreas Gursky,False
Andreas Juste,Andreas Juste,False
Andreas Papandreou,Andreas Papandreou,False
Andreea Bălan,Andreea Bălan,False
Andrej Kiska,Andrej Kiska,False
Andrej Plenković,Andrej Plenković,False
Andrew Garfield,Andrew Garfield,False
Andrew Holness,Andrew Holness,False
Andrew Huxley,Andrew Huxley,False
Andrew Jackson,Andrew Jackson,False
Andrew Johnson,Andrew Johnson,False
Andrey Batt,Andrey Batt,False
Andris Bērziņš,Andris Bērziņš,False
Andrius Kubilius,Andrius Kubilius,False
Andrus Ansip,Andrus Ansip,False
Andry Rajoelina,Andry Rajoelina,False
Andrzej Duda,Andrzej Duda,False
Andrzej Wajda,Andrzej Wajda,False
