ido_word,esperanto_word,in_current_dict,in_wiktionary
Aquoturmo,Akvoturo,False,no
Aquovaporo,Akvovaporo,False,no
Arabi,Araboj,False,no
Araknoido,Araknoido,False,no
Arako,Arako,False,no
Arara,Arara,False,no
Arawak-linguaro,Aravaka lingvaro,False,no
Arbutiero,Okcidenta arbuto,False,no
Areko,Betelaĵo,False,no
Arenillas,Arenillas,False,no
Areolo,Areolo,False,no
Arequipa,Arekipo,False,no
Argalo,Argala marabuo,False,no
Arganza,Arganza,False,no
Argonauti,Argonaŭtoj,False,no
Ariadne,Ariadno,False,no
Arianismo,Arianismo,False,no
Aristayos,Aristeo,False,no
Aristokratismo,Aristokratio,False,no
Aristolokio,Aristolokio,False,no
Aristotelismo,Aristotelismo,False,no
Arivey-ensemblo,Cela aro,False,no
Arizona,Arizono,False,no
Arkansas,Arkansaso,False,no
Arkegonio,Arkegonio,False,no
Arket-instrumento,Arĉinstrumento,False,no
Arketo,Arĉo,False,no
Arkimandrito,Arkimandrito,False,no
Arkivo-cienco,Arkivistiko,False,no
Arkivolto,Arkivolto,False,no
Arkonto,Arkonto,False,no
Arkpafado,Arkpafado,False,no
Armenia,Armenio,False,no
Arniko,Arniko,False,no
Arpejo,Arpeĝo,False,no
Artemis,Artemiso,False,no
Artezo-puteo,Arteza puto,False,no
Artikopodo,Heksapodoj,False,no
Artoverko,Artverko,False,no
Artropodo,Artropodoj,False,no
Aruba,Arubo,False,no
Arulo,Arulo,False,no
Arumo,Arumo,False,no
Aruspico,Haruspekso,False,no
Aryabhata,Aryabhata,False,no
Aryani,Arjoj,False,no
Arzamas,Arzamaso,False,no
Asekuro,Asekuro,False,no
Aselo,Oniskoj,False,no
Asemblolinguo,Asembla lingvo,False,no
Asfodelo,Asfodelo,False,no
Asha,Aŝa,False,no
Asiejo,Sieĝo,False,no
Asino,Asino,False,no
Askaridiko,Askaridozo,False,no
Asketismo,Asketismo,False,no
Asklepios,Asklepio,False,no
Asmara,Asmero,False,no
Asopos,Asopo,False,no
Asparagino,Asparagino,False,no
Assarakos,Asarako,False,no
Asteroido-zono,Asteroida zono,False,no
Asti,Asti,False,no
Astoneso,Surprizo,False,no
Astragalo,Astragalo,False,no
Astrakano,Karakula ŝafo,False,no
Astrobiologio,Astrobiologio,False,no
Astrofiziko,Astrofiziko,False,no
Astrolabo,Astrolabo,False,no
Astronautiko,Kosmonaŭtiko,False,no
Asturi,Asturoj,False,no
Asturia,Asturio,False,no
Aswan-barilo,Asuana Baraĵo,False,no
Atakama,Atakama-Dezerto,False,no
Atalante,Atalanta,False,no
Atamas,Atamanto,False,no
Ataraxio,Ataraksio,False,no
Ataxio,Ataksio,False,no
Atena,Atena,False,no
Ateromo,Ateromo,False,no
Athina,Ateno,False,no
Athos,Athos,False,no
Atiko,Mansarda tegmento,False,no
Atlantida,Atlantido,False,no
Atletismo,Atletiko,False,no
Atomobombo,Atombombo,False,no
Atreus,Atreo,False,no
Atriumo,Atrio,False,no
Atropino,Atropino,False,no
Augias,Aŭgio,False,no
Augustus,Aŭgusto Cezaro,False,no
Aurora,Aŭroro,False,no
Austria,Aŭstrio,False,no
Austria-Hungaria,Aŭstrio-Hungario,False,no
Autismo,Aŭtismo,False,no
Autoklavo,Aŭtoklavo,False,no
Autokrateso,Solrego,False,no
Automatigado,Aŭtomatigo,False,no
Automobil-bombo,Bombaŭto,False,no
Automobil-cinemo,Aŭtokinejo,False,no
Autostrado,Aŭtovojo,False,no
Autrigoni,Aŭtrigonoj,False,no
Auxerre,Auxerre,False,no
Avangardo,Avangardo,False,no
Avantalo,Antaŭtuko,False,no
Avarua,Avaruo,False,no
Aveiro,Aveiro,False,no
Avert-injeniorarto,Prompt-Inĝenierio,False,no
Avezzano,Avezzano,False,no
Aviac-acidento,Aviadila akcidento,False,no
Avicii,Avicii,False,no
Avion-richaro,Mondumo,False,no
Avoceto,Rekurbrostrulo,False,no
Ax-arboro,Ŝafto,False,no
Axiologio,Aksiologio,False,no
Axonometrio,Aksonometria perspektivo,False,no
Ayakos,Eako,False,no
Ayawaska,Ajaŭasko,False,no
Ayerbe,Ayerbe,False,no
Aymara-linguo,Ajmara lingvo,False,no
Ayoli,Eolianoj,False,no
Azerbaijanani,Azeroj,False,no
Azimuto,Azimuto,False,no
Aznakayevo,Aznakajevo,False,no
Azot-acido,Nitrata acido,False,no
Azulejo,Azuleĥo,False,no
Ba'as-partiso,Baazo,False,no
Babayevo,Babajevo,False,no
Babilonia,Babilono,False,no
Babilroboto,Babilroboto,False,no
Babiruso,Babiruso,False,no
Babuino,Paviano,False,no
Bachelero,Bakalaŭro,False,no
Badmintono,Badmintono,False,no
Baekje,Baekje,False,no
Bagno,Prizonkolonio,False,no
Bahama,Bahamoj,False,no
Bahia,Bahio,False,no
Baijio,Blanknaĝila delfeno,False,no
Bakelito,Bakelito,False,no
Bako,Bakĥo,False,no
Balabanovo,Balabanovo,False,no
Balakovo,Balakovo,False,no
Balasto,Balasto,False,no
Baleari,Balearoj,False,no
Balei,Balej,False,no
Baleto,Baleto,False,no
Bali,Balio,False,no
Balifo,Bajulo,False,no
Balisto,Balisto,False,no
Balkan-militi,Balkanaj militoj,False,no
Balkano-Latinida linguaro,Balkanlatinida lingvaro,False,no
Baltia,Baltio,False,no
Baltiko,Balta Maro,False,no
Balzam-vinagro,Balzamvinagro,False,no
Bamako,Bamako,False,no
Bambi,Bambi,False,no
Bananarama,Bananarama,False,no
Bangalore,Bengaluro,False,no
Bangui,Bango,False,no
Bantu-lingui,Bantua lingvaro,False,no
Baraona,Baraona,False,no
Barbados,Barbado,False,no
Barbakano,Barbakano,False,no
Barbari,Barbaroj,False,no
Barbie,Pupo Barbie,False,no
Barcarrota,Barcarrota,False,no
Barcelona,Barcelono,False,no
Bari,Bari,False,no
Bariloche,Bariloĉe,False,no
Barito,Barito,False,no
Barjas,Barjas,False,no
Barkarolo,Barkarolo,False,no
Barofluxo,Tajda kurondo,False,no
Barografo,Barografo,False,no
Barquisimeto,Barquisimeto,False,no
Barranquilla,Barankilo,False,no
Barsho,Labrako,False,no
Barto,Balenlameno,False,no
Basamento,Kelo,False,no
Basbalo,Basbalo,False,no
Basilikata,Basilikato,False,no
Basono,Fagoto,False,no
Basse-Terre,Bas-Tero,False,no
Basseterre,Bastero,False,no
Bastia,Bastia,False,no
Batavi,Batavoj,False,no
Baterno,Baterno,False,no
Batilaro,Drumo,False,no
Batiskafo,Batiskafo,False,no
Batisto,Batisto,False,no
Baudo,Baŭdo,False,no
Bauhaus,Bauhaus,False,no
Bauxito,Baŭksito,False,no
Bavaria,Bavario,False,no
Bavli,Bavli,False,no
Bayamo,Bayamo,False,no
Bayo,Golfeto,False,no
Bayonne,Bajono,False,no
Bazalto,Bazalto,False,no
Beaufort-skalo,Boforta skalo,False,no
Bedivere,Bedivere,False,no
Bekaseto,Granda kalidro,False,no
Bekasi,Bekasi,False,no
Bektashismo,Bektaŝismo,False,no
Beladono,Beladono,False,no
Belebei,Belebej,False,no
Beleso-konkurso,Beleco-konkurso,False,no
Belgia,Belgio,False,no
Belize,Belizo,False,no
Belokuriha,Belokuriĥa,False,no
Bembibre,Bembibro,False,no
Benediktano,Benediktanoj,False,no
Benefico,Beneficium,False,no
Benevento,Benevento,False,no
Bengali-linguo,Bengala lingvo,False,no
Benghazi,Bengazi,False,no
Benguela,Benguela,False,no
Benuza,Benuza,False,no
Benzoo,Benzoino,False,no
Berberiso,Berberiso,False,no
Bergamo,Bergamo,False,no
Bergamoto,Bergamotujo,False,no
Berilio,Berilio,False,no
Berkelio,Berkelio,False,no
Bermo,Bermo,False,no
Bermudi,Bermudo,False,no
Bertioga,Bertioga,False,no
Besarabia,Besarabio,False,no
Beshamelo,Beŝamelo,False,no
Betelgeuse,Betelĝuzo,False,no
Betelo,Betelo,False,no
Betonio,Stakiso,False,no
Bezono,Bezono,False,no
Bhilai,Bhilai,False,no
Bhubaneswar,Bubaneŝaro,False,no
Biafra,Biafro,False,no
Biblioteko-cienco,Bibliotekoscienco,False,no
Bibrakti,Bibracte,False,no
Biciklagado,Biciklado,False,no
Bicokokodexo,Bajtkodo,False,no
Bielorusi,Belorusoj,False,no
Bielorusia,Belorusio,False,no
Bifurkilo,Trakforko,False,no
Bigoteso,Bigoteco,False,no
Bihar,Biharo,False,no
Bijektio,Dissurĵeto,False,no
Bikinio,Bikino,False,no
Bilateralismo,Duflankaj rilatoj,False,no
Bilbao,Bilbao,False,no
Bilboketo,Bilboko,False,no
Bilderberg-Grupo,Bilderberg-konferenco,False,no
Bineto,Rastro,False,no
Biocenoso,Biocenozo,False,no
Biodanso,Biodanco,False,no
Biodiverseso,Biodiverseco,False,no
Bioetiko,Bioetiko,False,no
Biofiziko,Biofiziko,False,no
Biogeografio,Biogeografio,False,no
Bioinformatiko,Biokomputiko,False,no
Biomekaniko,Biomeĥaniko,False,no
Biostatistiko,Biostatistiko,False,no
Biotopo,Biotopo,False,no
Bir-pongo,Bierpongo,False,no
Bireto,Bireto,False,no
Bisekanto,Dusekcanto,False,no
Bisexualeso,Ambaŭseksemo,False,no
Bislama-linguo,Bislama lingvo,False,no
Biso,Bisino,False,no
Bitinia,Bitinio,False,no
Bitro-bulo,Biterbulo,False,no
BitTorrento,BitTorento,False,no
Bivalvo,Duvalvulo,False,no
Bizanco,Bizanco,False,no
Bizelo,Bevelo,False,no
Blacos,Blacos,False,no
Blaverismo,Blaverismo,False,no
Blendo,Sfalerito,False,no
Bliecos,Bliecos,False,no
Blok-kateno,Blokĉeno,False,no
Blokhauso,Blokhaŭso,False,no
Blondie,Blondie,False,no
Blu-radio,Blu-radia disko,False,no
Bodrucho,Baŭdruĉo,False,no
Boer-militi,Brita-bura milito,False,no
Boethius,Boecio,False,no
Bogio,Boĝio,False,no
Bogota,Bogoto,False,no
Bohemia,Bohemio,False,no
Bokalo,Bokalo,False,no
Boleto,Boleto,False,no
Bolivia,Bolivio,False,no
Bolo,Bovlo,False,no
Bologna,Bolonjo,False,no
Bolsheviki,Bolŝeviko,False,no
Bolshoy-teatro,Bolŝoj-Teatro,False,no
Bolzano,Bolzano-Bozen,False,no
