ido_word,esperanto_word,in_current_dict
Arkivolto,Arkivolto,False
Arkonto,Arkonto,False
Arkpafado,Arkpafado,False
Armenia,Armenio,False
Armo amas-destruktiva,Armilo de amasa detruo,False
Arniko,Arniko,False
Arpejo,Arpeĝo,False
Artemis,Artemiso,False
Artezo-puteo,Arteza puto,False
Artikopodo,Heksapodoj,False
Artoverko,Artverko,False
Artropodo,Artropodoj,False
Aruba,Arubo,False
Arulo,Arulo,False
Arumo,Arumo,False
Aruspico,Haruspekso,False
Arvernia-Rodano-Alpi,Aŭvernjo-Rodano-Alpoj,False
Aryabhata,Aryabhata,False
Aryani,Arjoj,False
Arzamas,Arzamaso,False
Asekuro,Asekuro,False
Aselo,Oniskoj,False
Asemblolinguo,Asembla lingvo,False
Asfodelo,Asfodelo,False
Asha,Aŝa,False
Asiejo,Sieĝo,False
Asino,Asino,False
Askaridiko,Askaridozo,False
Asketismo,Asketismo,False
Asklepios,Asklepio,False
Asmara,Asmero,False
Asopos,Asopo,False
Asparagino,Asparagino,False
Assarakos,Asarako,False
Asteroido-zono,Asteroida zono,False
Asti,Asti,False
Astoneso,Surprizo,False
Astragalo,Astragalo,False
Astrakano,Karakula ŝafo,False
Astrobiologio,Astrobiologio,False
Astrofiziko,Astrofiziko,False
Astrolabo,Astrolabo,False
Astronautiko,Kosmonaŭtiko,False
Asturi,Asturoj,False
Asturia,Asturio,False
Asunciono,Ĉielenpreno de Maria,False
Aswan-barilo,Asuana Baraĵo,False
Atakama,Atakama-Dezerto,False
Atalante,Atalanta,False
Atamas,Atamanto,False
Ataraxio,Ataraksio,False
Ataxio,Ataksio,False
Atena,Atena,False
Ateromo,Ateromo,False
Athina,Ateno,False
Athos,Athos,False
Atiko,Mansarda tegmento,False
Atlantida,Atlantido,False
Atletismo,Atletiko,False
Atomobombo,Atombombo,False
Atreus,Atreo,False
Atriumo,Atrio,False
Atropino,Atropino,False
Attila,Atilo la Huno,False
Augias,Aŭgio,False
Augustus,Aŭgusto Cezaro,False
Aurora,Aŭroro,False
Austria,Aŭstrio,False
Austria-Hungaria,Aŭstrio-Hungario,False
Autismo,Aŭtismo,False
Autoklavo,Aŭtoklavo,False
Autokrateso,Solrego,False
Automatigado,Aŭtomatigo,False
Automobil-bombo,Bombaŭto,False
Automobil-cinemo,Aŭtokinejo,False
Autoroyuro,Aŭtorrajto kaj kopirajtaj monopoloj,False
Autostrado,Aŭtovojo,False
Autrigoni,Aŭtrigonoj,False
Auxerre,Auxerre,False
Avangardo,Avangardo,False
Avantalo,Antaŭtuko,False
Avarua,Avaruo,False
Aveiro,Aveiro,False
Avert-injeniorarto,Prompt-Inĝenierio,False
Avezzano,Avezzano,False
Aviac-acidento,Aviadila akcidento,False
Avicii,Avicii,False
Avion-richaro,Mondumo,False
Avoceto,Rekurbrostrulo,False
Avogadro-nombro,Nombro de Avogadro,False
Ax-arboro,Ŝafto,False
Axiologio,Aksiologio,False
Axonometrio,Aksonometria perspektivo,False
Ayakos,Eako,False
Ayawaska,Ajaŭasko,False
Ayerbe,Ayerbe,False
Aymara-linguo,Ajmara lingvo,False
Ayoli,Eolianoj,False
Azerbaijanani,Azeroj,False
Azimuto,Azimuto,False
Aznakayevo,Aznakajevo,False
Azot-acido,Nitrata acido,False
Azulejo,Azuleĥo,False
Ba'as-partiso,Baazo,False
Babayevo,Babajevo,False
Babilonia,Babilono,False
Babilroboto,Babilroboto,False
Babiruso,Babiruso,False
Babuino,Paviano,False
Bachelero,Bakalaŭro,False
Baden-Baden,Baden-Baden,False
Badenia-Wurtemberg,Baden-Virtembergo,False
Badmintono,Badmintono,False
Baekje,Baekje,False
Bagno,Prizonkolonio,False
Bahama,Bahamoj,False
Bahia,Bahio,False
Baijio,Blanknaĝila delfeno,False
Bakelito,Bakelito,False
Bako,Bakĥo,False
